Identifier,Question Key,Question,Value Type,Options,Parent Question Key,Stage,Page,Section,Sequence,Sp Opt,Sp Opt Message,Sp Opt Action,Sp Opt Data,Validation Type,Validation Value,Validation Message,Is Mandatory,Is Editable,Unified,Repeatable For,Dependent Keys
,customer_address,Current Address,,,customer_address,Customer Details,Current Address,3,,,Please enter correct data,,false,true,NON_UNIFIED,,
,address,Address,address,,customer_address,Customer Details,Current Address,1,,,"{""fields"":[""address_line_1"",""address_line_2"",""pincode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,is_address_same,Is the Address Same as Current Address,dropdown,"Yes, No",customer_address,Customer Details,Current Address,6,No,,render_sub_questions,,true,true,NON_UNIFIED,,
,registration_address_section,Registration Address,address,,registration_address_section,Customer Details,Registration Address,4,,,"{""fields"":[""reg_address_line_1"",""reg_address_line_2"",""reg_zipcode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,registration_address,Address,address,,registration_address_section,Customer Details,Registration Address,1,,,"{""fields"":[""address_line_1"",""address_line_2"",""pincode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,previous_policy_details,Previous Policy Details,,,previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,false,true,NON_UNIFIED,,
,previous_policy_carrier_code,Previous Third Party Insurance Company,text,,previous_policy_details,Vehicle Details,Previous Policy Details,1,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_policy_type,Previous Policy Type,dropdown,"comprehensive, od_only, third_party",previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_policy_number,Previous Policy Number,text,,previous_policy_details,Vehicle Details,Previous Policy Details,3,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_tp_policy_number,Previous Third Party Policy Number,text,,previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_tp_policy_carrier_code,Previous Third Party Insurance Company,text,,previous_policy_details,Vehicle Details,Previous Policy Details,3,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_tp_policy_expiry_date,Previous Third Party Expiry date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,4,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_tp_policy_start_date,Previous TP Start Date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,5,,,,,true,true,NON_UNIFIED,,
,previous_policy_expiry_date,Previous Policy Expiry Date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,1,,,Please enter correct data,,true,false,NON_UNIFIED,,
,additional_info,Additional Information,,,additional_info,Customer Details,Additional Information,5,,,,,false,true,NON_UNIFIED,,
,NO_PA_Cover,If not opted for Personal Accident Cover Please choose a reason,dropdown,"No Valid Drivers license, Having a PA cover",additional_info,Customer Details,Additional Information,1,,,Please enter correct data,,true,true,NON_UNIFIED,,
